column,unique_values,top_values
Type,4,DEBIT: 69295 | TRANSFER: 49883 | PAYMENT: 41725 | CASH: 19616
Delivery Status,4,Late delivery: 98977 | Advance shipping: 41592 | Shipping on time: 32196 | Shipping canceled: 7754
Category Name,50,High-cardinality column
Customer City,563,High-cardinality column
Customer Country,2,EE. UU.: 111146 | Puerto Rico: 69373
Customer Email,1,XXXXXXXXX: 180519
Customer Fname,782,High-cardinality column
Customer Lname,1109,High-cardinality column
Customer Password,1,XXXXXXXXX: 180519
Customer Segment,3,Consumer: 93504 | Corporate: 54789 | Home Office: 32226
Customer State,46,High-cardinality column
Customer Street,7458,High-cardinality column
Department Name,11,Fan Shop: 66861 | Apparel: 48998 | Golf: 33220 | Footwear: 14525 | Outdoors: 9686 | Fitness: 2479 | Discs Shop: 2026 | Technology: 1465 | Pet Shop: 492 | Book Shop: 405
Market,5,LATAM: 51594 | Europe: 50252 | Pacific Asia: 41260 | USCA: 25799 | Africa: 11614
Order City,3597,High-cardinality column
Order Country,164,High-cardinality column
order date (DateOrders),65752,High-cardinality column
Order Region,23,Central America: 28341 | Western Europe: 27109 | South America: 14935 | Oceania: 10148 | Northern Europe: 9792 | Southeast Asia: 9539 | Southern Europe: 9431 | Caribbean: 8318 | West of USA : 7993 | South Asia: 7731
Order State,1089,High-cardinality column
Order Status,9,COMPLETE: 59491 | PENDING_PAYMENT: 39832 | PROCESSING: 21902 | PENDING: 20227 | CLOSED: 19616 | ON_HOLD: 9804 | SUSPECTED_FRAUD: 4062 | CANCELED: 3692 | PAYMENT_REVIEW: 1893
Product Image,118,High-cardinality column
Product Name,118,High-cardinality column
shipping date (DateOrders),63701,High-cardinality column
Shipping Mode,4,Standard Class: 107752 | Second Class: 35216 | First Class: 27814 | Same Day: 9737
