model_name,split,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_ovr_macro
XGBoost-RGC,train,0.8477877226719847,0.847290692701189,0.84951074297281,0.847290692701189,0.8471286276914713,0.8474071123518256,0.9695358575723084
XGBoost-RGC,valid,0.8202599896595022,0.8199732040881416,0.8215884215879812,0.8199732040881416,0.8197193249007461,0.8198573144089688,0.9556830027571653
XGBoost-RGC,test,0.7733215156215377,0.7690617000123098,0.7856393331713164,0.7690617000123098,0.7719565971250524,0.7725392231015085,0.9289920682744
LightGBM-RGC,train,0.9131470446254046,0.9130399163560101,0.9130701595419817,0.9130399163560101,0.9129411014627911,0.9131417092767503,0.9888514747084916
LightGBM-RGC,valid,0.82687052219514,0.8267856185608754,0.8270880165302752,0.8267856185608754,0.8266747771652135,0.8267948829251084,0.960863182193563
LightGBM-RGC,test,0.782886476106064,0.7786070454737005,0.7881098423523638,0.7786070454737005,0.7814385910786411,0.7823702186191442,0.9401150857147154
CatBoost-RGC,train,0.8391776073692457,0.8388124889472383,0.8409840293722285,0.8388124889472383,0.8386052112125761,0.8388824606015063,0.9664606681164485
CatBoost-RGC,valid,0.8237314424994461,0.823435328396822,0.8251389193751862,0.823435328396822,0.8232473085826663,0.823393170837698,0.9586716033393176
CatBoost-RGC,test,0.8009454169436443,0.7994415679795818,0.8059775191724089,0.7994415679795818,0.8007445299894475,0.8003919985349143,0.9452907988647898
