proposed_model,base_algorithm,candidate_feature_set,feature_count,candidate_status,valid_accuracy,valid_macro_f1,valid_balanced_accuracy,valid_roc_auc,test_accuracy,test_macro_f1,test_balanced_accuracy,accuracy_gain_vs_strict_context,macro_f1_gain_vs_strict_context,balanced_accuracy_gain_vs_strict_context,ablation_role
CatBoost-RGC,CatBoost,RGC-ExpandedContext,129,SAFE_SELECTABLE,0.8237314424994461,0.8232473085826663,0.823435328396822,0.9586716033393176,0.8009454169436443,0.8007445299894475,0.7994415679795818,0.1762316271511929,0.1789143852111833,0.17965306867425102,Adds expanded train-safe entity prior context
CatBoost-RGC,CatBoost,RGC-ProxyRiskContext,79,SAFE_SELECTABLE,0.8232882783071128,0.8231167219177369,0.8232113308190424,0.9585690439370054,0.7886476106063963,0.7879743766998129,0.7851197048960085,0.16393382081394492,0.1661442319215487,0.1653312055906777,Adds controlled proxy-risk indicators
CatBoost-RGC,CatBoost,RGC-StrictContext,75,SAFE_SELECTABLE,0.6490508900214196,0.6438144746840613,0.6483905067114275,0.8340222402291814,0.6247137897924514,0.6218301447782641,0.6197884993053308,0.0,0.0,0.0,Baseline-safe graph/context features only
LightGBM-RGC,LightGBM,RGC-ProxyRiskContext,79,SAFE_SELECTABLE,0.82687052219514,0.8266747771652135,0.8267856185608754,0.960863182193563,0.782886476106064,0.7814385910786411,0.7786070454737005,0.18804933894674647,0.18262592932627741,0.18712488142071337,Adds controlled proxy-risk indicators
LightGBM-RGC,LightGBM,RGC-ExpandedContext,129,SAFE_SELECTABLE,0.8265012187015289,0.8263415837350484,0.826381999878189,0.9602706382321284,0.774466356451732,0.7724862928759061,0.7696146317593374,0.1796292192924145,0.1736736311235424,0.17813246770635027,Adds expanded train-safe entity prior context
LightGBM-RGC,LightGBM,RGC-StrictContext,75,SAFE_SELECTABLE,0.6493463328163085,0.6447526392359938,0.6489162044851012,0.8316540676720098,0.5948371371593175,0.5988126617523637,0.5914821640529871,0.0,0.0,0.0,Baseline-safe graph/context features only
XGBoost-RGC,XGBoost,RGC-ExpandedContext,129,SAFE_SELECTABLE,0.8170470492650861,0.8166960418585701,0.8166395943787043,0.9546205962671752,0.777273063003176,0.7767014380503778,0.774514999589357,0.1870152891646355,0.1801304962938649,0.18485103416666027,Adds expanded train-safe entity prior context
XGBoost-RGC,XGBoost,RGC-ProxyRiskContext,79,SAFE_SELECTABLE,0.8202599896595022,0.8197193249007461,0.8199732040881416,0.9556830027571652,0.7733215156215377,0.7719565971250524,0.7690617000123098,0.18306374178299722,0.17538565536853945,0.17939773458961306,Adds controlled proxy-risk indicators
XGBoost-RGC,XGBoost,RGC-StrictContext,75,SAFE_SELECTABLE,0.6475736760469754,0.6411810861949974,0.6467935514467786,0.8305541355630531,0.5902577738385405,0.5965709417565129,0.5896639654226967,0.0,0.0,0.0,Baseline-safe graph/context features only
