scenario_name,stress_group,severity_level,robustness_index,reward_relative_improvement_percent,risk_reduction_percent,delay_reduction_percent,service_improvement_percent,resilience_improvement_percent
supplier_shock_severe,supplier_shock,3,23.97189270485207,45.78413988880507,8.611926196862987,21.03395535310662,17.21682856770126,11.499667620409607
combined_stress_moderate,combined_stress,2,22.864788582420392,43.576985216028554,8.61192619686299,19.194174937210846,17.09769729132319,11.105454647323878
logistics_disruption_moderate,logistics_disruption,2,21.50218104301737,39.74641792800318,8.611926196863,19.194174937210846,15.923687533085717,10.856548718925248
demand_surge_severe,demand_surge,3,21.17028792016241,37.21710137000187,8.611926196863006,21.0769059376054,17.076535609753055,10.039404938701388
supplier_shock_moderate,supplier_shock,2,20.68579687965492,36.331179880271854,8.611926196863,21.076905937605403,15.322905873491843,10.334937384372688
logistics_disruption_mild,logistics_disruption,1,19.854626914406065,33.937099832534884,8.611926196862992,21.076905937605385,14.824647403627775,10.08022284805171
demand_surge_moderate,demand_surge,2,19.13177252517079,31.76355803132284,8.611926196862983,21.076905937605385,14.989281368416934,9.443643224118137
supplier_shock_mild,supplier_shock,1,18.724386992773383,30.809062010226206,8.611926196862992,21.076905937605385,14.137684681158483,9.48832840425383
demand_surge_mild,demand_surge,1,18.08641812215841,28.990287118234225,8.611926196863003,21.076905937605396,13.907687531999088,9.102749533297327
combined_stress_high,combined_stress,3,18.084815084143013,37.222352724288115,8.611926196862987,7.226967683326395,15.633897081738832,9.368306190385857
normal,normal,0,17.19508221857986,26.62623777525467,8.611926196862992,21.076905937605396,13.027839076970704,8.768457317094512
logistics_disruption_severe,logistics_disruption,3,16.18916407491014,32.0482797723756,8.61192619686299,7.226967683326395,13.582161600343904,9.130514180719976
combined_stress_extreme,combined_stress,4,15.968521697041307,35.488616628883506,8.611926196863015,0.0,15.528411022504345,8.468598770853347
